Month,Reporting org id,Reporting org name,Reporting org type,Sector,Receiver org id,Receiver org name,Humanitarian?,Strict?,Transaction type,Activity id,Net money,Total money,Notes
#date+month,#org+id,#org+name,#org+type,#sector,#org+id+receiver,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#activity+code,#value+net,#value+total,#description
2025-04,do-54,Barratt Foundation,70,Communications services,GB-CHC-220949,British Red Cross Society ,1,1,commitments,78,66000,66000,"£50,000 from charitable arm of Barratt and David Wilson Homes and commercial property developer Wilson Bowden."
2025-04,do-55,Barry Callebaut AG,70,Consumer discretionary,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),1,1,spending,79,31617,31617,"CHF 30,000 donation from Swiss cocoa producer."
2025-04,do-56,BASF SE,70,Industrials,ro-193,BASF Foundation [NGO],1,1,commitments,811,2121666,2121666,"Employees donated € 2,110,156 to the BASF colleagues in Ukraine"
2025-04,do-56,BASF SE,70,Industrials,ro-40,German Red Cross,1,1,commitments,80,1101820,1101820,Donation from German chemicals conglomerate. €1 million.
2025-04,do-56,BASF SE,70,Industrials,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,commitments,812,2121666,2121666,The company matched the employees' donation to support the Ukrainian refugees
2025-04,do-474,Baupost Group,70,Financials,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,749,10200,10200,Cash donation to UHF
2025-04,do-57,Bayer AG,70,Health care,ro-40,German Red Cross,1,1,spending,81,1331400,1331400,"€1,060,000 proceeds from employee donation campaign to benefit multiple Red Cross national societies (via German Red Cross) with match by Bayer AG, PLUS separate €200,000 cash donation from the Bayer Disaster Relief Preparedness Fund. "
2025-04,do-57,Bayer AG,70,Health care,ro-181,Individual grantees (see notes),1,1,spending,89,204681,204681,"A total of €193,636 made up of multiple small donations of €10,000 - 50,000 to NGOs in Ukraine and neighbouring countries in support of shelters, medical care; refugees and emergency relief."
2025-04,do-57,Bayer AG,70,Health care,ro-69,Ministry of Agrarian Policy and Food of Ukraine [government],1,1,spending,83,1582035,1582035,"€1,500,000 worth of seed donations for smallholder farmers: maize and vegetable products; book value as provided by Bayer."
2025-04,do-57,Bayer AG,70,Health care,ro-70,Ministry of Health of Ukraine [government],1,1,spending,84,949221,949221,"€900,000 worth of medicine / health products including antibiotics, oncology products, cardiovascular products, vitamins. Book value as provided by Bayer."
2025-04,do-57,Bayer AG,70,Health care,ro-80,Pioneer Foundation [NGO],1,1,commitments,85,21093,21093,"€20,000 to support free journalism."
2025-04,do-57,Bayer AG,70,Health care,ro-84,Polish Red Cross,1,1,commitments,86,263672,263672,"€250,000 cash donation"
2025-04,do-57,Bayer AG,70,Health care,ro-116,Ukrainian Red Cross Society,1,1,commitments,87,527345,527345,"€500,000 to support purchase of ambulances and defibrilators."
2025-04,do-57,Bayer AG,70,Health care,ro-2,Unspecified (see notes),1,1,commitments,88,1936794,1936794,"€1,586,364 reserved for food security and support of children; recipients to be selected. An additional €250,000 is dedicated for the benefit of Red Cross national societies."
2025-04,do-431,Bayerische Motoren Werke AG (BMW),70,Industrials,ro-160,Alliance4Ukraine [NGO],1,1,commitments,695,315765,315765,"€300,000 to address conflicts and advance peace in both short-term and long-term coordinated action contributed to a new coordinating body started by BMW and other foundations, companies, and NGOs."
2025-04,do-431,Bayerische Motoren Werke AG (BMW),70,Industrials,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,spending,694,1011236,1011236,Donations to UNICEF National Committee Germany.
2025-04,do-58,BBVA,70,Financials,ro-120,United Kingdom for UNHCR,1,1,commitments,91,545000,545000,"€1,586,364 reserved for food security and support of children; recipients to be selected."
2025-04,do-58,BBVA,70,Financials,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,commitments,92,545000,545000,"€1,060,000 proceeds from employee donation campaign to benefit multiple Red Cross national societies (via German Red Cross) with match by Bayer AG."
2025-04,do-519,Beiersdorf AG,70,Consumer Staples,ro-1,Multiple (see notes),1,1,spending,818,2014417,2014417,€ 2 million donation to the German Red Cross and CARE Deutschland e.V. Also in-kind contributions in coordination with innatura and Hanseatic Help.
2025-04,do-519,Beiersdorf AG,70,Consumer Staples,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,commitments,819,201442,201442,"€ 200,000 collected from the employees through the Beiersdorf donation platform together with the UNHCR.
"
2025-04,do-59,BentallGreenOak,70,Real estate,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,commitments,93,39500,39500,"CAD 50,000 donation."
2025-04,do-511,Bertelsmann SE & Co. KGaA,70,Communication Services,ro-176,Stiftung RTL - Wir helfen Kindern e.V. [NGO],1,1,commitments,809,25136365,25136365,€ 25 million donation to provide help to the children affected by the war in Ukraine and their families on site.
2025-04,do-60,BHP Foundation,70,Materials,ro-113,Ukraine Humanitarian Fund (UHF),1,1,commitments,770,2000000,2000000,"Pipeline donation from private foundation affiliated with BHP (formerly BHP Billiton), a multinational mining, metals, and petroleum company."
2025-04,do-60,BHP Foundation,70,Materials,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,spending,95,2000000,2000000,"Donation from the private foundation affiliated with BHP (formerly known as BHP Billiton), an Australian multinational mining, metals and petroleum company."
2025-04,do-489,Biogen Inc.,70,Health care,ro-1,Multiple (see notes),1,1,commitments,765,1500000,1500000,"Commitment of $1.5 million including Biogen in-kind contributions of essential supplies, employee relief bonuses and volunteering, distributed through the International Medical Corps, Polish Humanitarian Action, the Swiss Red Cross, UNICEF, and UNHCR."
2025-04,do-61,BioNTech SE,70,Health care,ro-132,UNO-Flüchtlingshilfe (Germany for UNHCR),1,1,commitments,96,1099600,1099600,Humanitarian aid for the people of Ukraine with a donation of one million Euro.
2025-04,do-430,Biosphere Corporation,70,Consumer staples,ro-2,Unspecified (see notes),1,1,commitments,693,67733,67733,"Donated almost 46,000 units of various products worth more than UAH 2 million, including 3000 packages of Bambik diapers, 17,000 packages of wet wipes, 8,000 rolls of garbage bags, toilet paper, kitchen supplies, and more."
2025-04,do-62,Blockchain Charity Foundation USA,70,Financials,ro-57,International Strategic Action Network for Security [NGO],1,1,commitments,97,500000,500000,"Donation of $500,000 equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform towards providing temporary housing and resettlement assistance to Ukrainian refugees entering Poland."
2025-04,do-62,Blockchain Charity Foundation USA,70,Financials,CZ-ICO-25755277,People in Need [NGO],1,1,commitments,98,1000000,1000000,Donation of $1 million equivalent cryptocurrency from charitable foundation associated with Binance cryptocurrency exchange platform towards direct assistance to refugees in Slovakia and those displaced in Ukraine.
