Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID
EQ-2023-000015-TUR-0047,Hyundai Motor Company,Consumer discretionary,Republic of Korea,Korean Red Cross,cash,pledged,2000000,"Cash donation for relief efforts in Türkiye and Syria.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/hyundai-motor-earthquakes-t-rkiye-and-syria,do-200,ro-197
EQ-2023-000015-TUR-0048,Hyundai Assan Otomotiv Sanayi ve Ticaret A.Ş.,Industrials,Republic of Korea,Unspecified (see notes),in-kind,pledged,534085,"€500,000 of relief equipment, including cutters and grinders, plus daily necessities such as food, sanitary goods, and cold weather supplies.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/hyundai-motor-earthquakes-t-rkiye-and-syria,do-617,ro-2
EQ-2023-000015-TUR-0049,IKEA Foundation,Consumer discretionary,Netherlands,Médecins Sans Frontières (MSF) [NGO],cash,pledged,10652230,€10 million immediate cash donation.,Public reporting: https://www.ikea.com/au/en/newsroom/corporate-news/the-ikea-foundation-commits-eur10-million-to-provide-emergency-assistance-in-turkey-and-northern-syria-pubf7a56700,do-204,ro-66
EQ-2023-000015-TUR-0050,Johnson & Johnson,Consumer discretionary,United States of America,Multiple (see notes),cash,pledged,1000000,Cash donation to International Medical Corps (IMC) and International Rescue Committee (IRC) for immediate relief efforts.,Public reporting: https://www.jnj.com/johnson-johnson-statement-on-the-earthquakes-in-turkey-and-syria,do-217,ro-1
EQ-2023-000015-TUR-0051,Kellogg Company,Consumer Staples,United States of America,Multiple (see notes),cash,pledged,150000,Cash donation to Türkiye Eğitim Gönüllüleri Vakfı (TEGV) and UNHCR.,Public reporting: https://www.linkedin.com/posts/kellogg-company_turkey-syria-earthquakes-activity-7030916320305041408-SLpY/?originalSubdomain=lt,do-621,ro-1
EQ-2023-000015-TUR-0052,Mastercard,Financials,United States of America,World Food Program (WFP),cash,pledged,200000,Cash donation.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/mastercard-earthquakes-t-rkiye-and-syria,do-248,XM-DAC-41140
EQ-2023-000015-TUR-0053,Mastercard,Financials,United States of America,Needs Map [NGO],cash,pledged,350000,Cash donation.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/mastercard-earthquakes-t-rkiye-and-syria,do-248,ro-199
EQ-2023-000015-TUR-0054,Mastercard,Financials,United States of America,Multiple (see notes),cash,pledged,100000,"Donations from 1:1 employee giving campaign and that has so far raised more than $100,000 for Turkish Philanthropy, Mozaik Turkey, and Direct Relief.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/mastercard-earthquakes-t-rkiye-and-syria,do-248,ro-1
EQ-2023-000015-TUR-0055,McDonald's Corporation,Consumer Staples,United States of America,Multiple (see notes),cash,pledged,1000000,"Cash donation from McDonald’s Corporation and McDonald’s Turkey for relief efforts. including contributions to Save the Children, World Central Kitchen, and local nonprofits. ",Public reporting: https://corporate.mcdonalds.com/corpmcd/our-stories/article/supporting-turkey-syria.html,do-622,ro-1
EQ-2023-000015-TUR-0056,"MEBO International, Inc.",Health Care,United States of America,Unspecified (see notes),cash,pledged,200000,Commitment to work with Gulf Pharmaceutical Industries (JULPHAR) to provide needed assistance.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/mebo-earthquakes-t-rkiye-and-syria,do-623,ro-2
EQ-2023-000015-TUR-0057,Mercedes-Benz,Consumer discretionary,Germany,German Red Cross,cash,pledged,1066350,€1 million for people in Turkey and Syria affected by the severe earthquakes.,Public reporting: https://group.mercedes-benz.com/company/news/emergency-aid-earthquakes.html,do-252,ro-40
EQ-2023-000015-TUR-0058,Metro AG,Consumer staples,Germany,Canadian Red Cross Society,cash,pledged,50000,"Donation to support emergency relief, recovery efforts, and resilience building activities in the affected areas.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-and-syria/metro-earthquakes-t-rkiye-and-syria,do-255,ro-17
EQ-2023-000015-TUR-0059,Mitsubishi Electric,Industrials,Japan,Embassy of the Republic of Turkey in Japan [government],cash,pledged,152672,JPY 20 million to aid victims of earthquakes that struck Southern Turkey.,Public reporting: https://www.mitsubishielectric.com/news/2023/0208.html,do-261,ro-196
EQ-2023-000015-TUR-0060,"Moderna, Inc.",Health Care,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,1000000,"Moderna Charitable Foundation commitment. The Foundation will also match eligible Moderna employee donations.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/moderna-earthquakes-t-rkiye-and-syria,do-624,ro-54
EQ-2023-000015-TUR-0061,New York Life,Financials,United States of America,Save the Children [NGO],cash,pledged,100000,Immediate donation to Save the Children’s Emergency Fund.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/new-york-life-earthquakes-t-rkiye-and-syria,do-276,GB-COH-213890
EQ-2023-000015-TUR-0062,New York Life,Financials,United States of America,United Nations Children's Fund (UNICEF),cash,pledged,100000,Cash donation paid through UNICEF USA.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/new-york-life-earthquakes-t-rkiye-and-syria,do-276,XM-DAC-41122
EQ-2023-000015-TUR-0063,New York Life,Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,100000,"Commitment to match employee donations up to $100,000.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/new-york-life-earthquakes-t-rkiye-and-syria,do-276,US-EIN-13-5660870
EQ-2023-000015-TUR-0064,Novartis AG,Health care,Switzerland,Unspecified (see notes),cash,pledged,1000000,Commitment to helping the humanitarian effort.,Public reporting: https://www.novartis.com/news/novartis-expands-humanitarian-efforts-ukraine-through-donation-essential-medicines,do-281,ro-2
EQ-2023-000015-TUR-0065,Novelis Corporation,Industrials,United States of America,Unspecified (see notes),cash,pledged,26791,"Initial €25,000  contribution to help people in Turkey and Syria affected by the recent earthquake. Novelis will also match employee contributions.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/novelis-earthquakes-t-rkiye-and-syria,do-282,ro-2
EQ-2023-000015-TUR-0066,Novo Nordisk A/S,Energy,Denmark,Turkish Red Crescent / Türk Kızılay,cash,pledged,1000000,Cash donation.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-and-syria/novo-nordisk-earthquakes-t-rkiye-and-syria,do-283,ro-200
EQ-2023-000015-TUR-0067,Novo Nordisk A/S,Energy,Denmark,Multiple (see notes),cash,pledged,700000,Cash donation to the Danish Red Cross and Danish Refugee Council for Syria relief.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-and-syria/novo-nordisk-earthquakes-t-rkiye-and-syria,do-283,ro-1
EQ-2023-000015-TUR-0068,"Palo Alto Networks, Inc.",Information Technology,United States of America,Unspecified (see notes),cash,pledged,100000,"Cash donation to several organizations on the ground. The company will also be matching any personal donations of their employees to these organizations.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-and-syria/palo-alto-networks-earthquakes-t-rkiye-and-syria,do-625,ro-2
EQ-2023-000015-TUR-0069,Panasonic Holdings Corporation,Industrials,Japan,Multiple (see notes),cash,pledged,260989,"JPY 35 million to the Japanese Red Cross Society, Peace Winds Japan, and other regional organization to be used for relief efforts for disaster victims and reconstruction of the affected areas.",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/panasonic-group-earthquakes-t-rkiye-and-syria,do-626,ro-1
EQ-2023-000015-TUR-0070,Pearson Education,Consumer Discretionary,United Kingdom,International Rescue Committee (IRC) [NGO],cash,pledged,180000,"£150,000 to support immediate humanitarian relief efforts in Turkey and Syria.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/pearson-earthquakes-t-rkiye-and-syria,do-627,US-EIN-13-5660870
EQ-2023-000015-TUR-0071,"PepsiCo, Inc.",Consumer Staples,United States of America,Unspecified (see notes),cash,pledged,1200000,"PepsiCo and the PepsiCo Foundation donations, including employee donation matching, for humanitarian aid to Türkiye and Syria where the thousands impacted are facing sub-zero temperatures.",Public reporting: https://www.pepsico.com/our-stories/press-release/pepsico-and-the-pepsico-foundation-support-t%C3%BCrkiye-and-syria-earthquake-relief-efforts,do-295,ro-2
EQ-2023-000015-TUR-0072,Porsche AG,Consumer discretionary,Germany,Aktion Deutschland Hilft [NGO],cash,pledged,1068890,€1 million cash donation.,Public reporting: https://newsroom.porsche.com/en/2021/company/porsche-donation-one-million-euro-emergency-aid-aktion-deutschland-hilft-25238.html,do-302,ro-13
EQ-2023-000015-TUR-0073,POSCO,Industrials,South Korea,Korean Red Cross,cash,pledged,1000000,Cash donation to support emergency relief efforts in Turkey.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/posco-group-earthquakes-t-rkiye-and-syria,do-628,ro-197
EQ-2023-000015-TUR-0074,"Prudential Financial, Inc.",Financials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,150000,"Prudential Foundation donated an initial $150,000 to International Rescue Committee and will separately launch an employee matching gifts campaign up to $50,000.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/prudential-foundation-earthquakes-t-rkiye-and-syria,do-629,US-EIN-13-5660870
EQ-2023-000015-TUR-0075,PricewaterhouseCoopers,Financials,United States of America,Multiple (see notes),cash,pledged,300000,PwC Charitable Foundation grants to CARE and Project HOPE to provide relief to communities impacted by earthquakes and aftershocks in the region. ,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/pwc-earthquakes-t-rkiye-and-syria,do-303,ro-1
EQ-2023-000015-TUR-0076,Ripple Labs Inc.,Financials,United States of America,Unspecified (see notes),cash,pledged,250000,"Ripple will donate $250,000 in XRP tokens. The company will also match all crypto donations 2:1 up to $750,000 USD. Any unmet match amount will be donated.
",Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/ripple-earthquakes-t-rkiye-and-syria,do-630,ro-2
EQ-2023-000015-TUR-0077,Rockwell Automation,Industrials,United States of America,Unspecified Red Cross / Red Crescent Society (see notes),cash,pledged,50000,Cash donation to the Red Cross to support relief efforts is Turkey and Syria.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-turkey-and-syria/rockwell-automation-earthquakes-t-rkiye-and-syria,do-312,ro-3
EQ-2023-000015-TUR-0078,Royal Bank of Canada,Financials,Canada,Canadian Red Cross Society,cash,pledged,150000,Cash donation for immediate and future humanitarian needs following the earthquake that hit the region.,Public reporting: https://www.rbc.com/newsroom/news/article.html?article=125772,do-313,ro-17
