Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID,
65,Audi AG,Consumer discretionary,Germany,UNO-Flüchtlingshilfe (Germany for UNHCR),cash,pledged,805774,€750k to UNO-Flüchtlingshilfe plus €250k for regional projects at the Audi site in Hungary.,"Public reporting
[https://twitter.com/AudiOfficial/status/1499719560349560832]",cd-41,ro-132,
66,Audi AG,Consumer discretionary,Germany,UNO-Flüchtlingshilfe (Germany for UNHCR),cash,pledged,268591,€750k to UNO-Flüchtlingshilfe plus €250k for regional projects at the Audi site in Hungary.,"Public reporting
[https://twitter.com/AudiOfficial/status/1499719560349560832]",cd-41,ro-132,
67,"Aurora World, Inc.",Consumer discretionary,United States of America,The Toy Foundation [NGO],in-kind,pledged,250000,"Donation from manufacturer of plush toys of $250,000 worth of toys for children affected by the Ukraine crisis. ","Public reporting
[https://www.linkedin.com/posts/aurora-world-inc%2E_standwithukraine-toyfoundation-toyindustry-activity-6909243598135836672-4WNU]",cd-42,ro-109,
68,aviado GmbH,Industrials,Germany,Ukraine Humanitarian Fund (UHF),cash,paid,16667,Donation from specialist aviation and rail consultancy. ,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-43,ro-113,
69,AXA,Financials,France,unspecified or multiple recipients,cash,pledged,6405720,€6 million for NGOs working in Ukraine and neighboring countries.,"Public reporting
[https://www.axa.com/en/magazine/Ukraine-update-on-our-actions]",cd-44,ro-149,
70,Backcountry,Consumer discretionary,United States of America,CARE International [NGO],cash,pledged,10000,To help with refugee assistance.,"Public reporting
[https://www.adventure-journal.com/2022/03/drop-waterfalls-not-bombs-outdoor-companies-rally-to-ukraine-relief/]",cd-45,GB-CHC-292506,
71,Bain & Company,Financials,United States of America,United Nations High Commissioner for Refugees (UNHCR),cash,pledged,1000000,Donation announced by Worldwide Managing Partner of global consultancy.,"Public reporting
[https://www.bain.com/offices/moscow/statement-of-work-in-russia/]",cd-46,XM-DAC-41121,
72,Baker Creek Heirloom Seed Company,Consumer discretionary,United States of America,World Help [NGO],cash,pledged,1600000,Donation from seed sales from February 25 through 27.,"Public reporting
[https://www.ozarksfirst.com/local-news/local-news-local-news/baker-creek-heirloom-seed-company-helping-ukraine-with-every-seed/]",cd-47,ro-158,
73,Balenciaga SAS,Consumer discretionary,France,World Food Programme (WFP),cash,paid,337079,Donation from Spanish (now French) luxury brand. ,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-48,XM-DAC-41140,
74,Banco Santander S.A.,Financials,Spain,unspecified or multiple recipients,cash,pledged,1087495,€1 million initial donation to the Red Cross and UNHCR. ,"Public reporting
[https://www.santander.com/es/sala-de-comunicacion/notas-de-prensa/2022/03/respuesta-a-la-crisis-humanitaria-en-ucrania?linkId=100000113199097]",cd-49,ro-149,
75,Bandai Namco,Consumer discretionary,Japan,Save the Children [NGO],cash,pledged,817420,100 million yen donation in support of Ukraine.,"Public reporting
[https://twitter.com/BandaiNamcoUS/status/1502388909086593025]",cd-50,GB-COH-213890,
76,Bank of America,Financials,United States of America,unspecified or multiple recipients,cash,pledged,1000000,"To the Red Cross and Red Crescent network in Ukraine and the region, World Central Kitchen, Cooperative for Assistance and Relief Everywhere, International Medical Corps and Project Hope.","Public reporting
[https://www.reuters.com/business/wells-fargo-pledges-1-million-aid-ukraine-people-fleeing-russian-invasion-2022-03-02/]",cd-51,ro-149,
77,Bank of Ireland,Financials,Ireland,Irish Red Cross Society,cash,pledged,109000,"€100,000 to help people fleeing the Ukraine conflict.","Public reporting
[https://www.bankofireland.com/ukraine-crisis/]",cd-52,ro-58,
78,Barratt Foundation,Communications services,United Kingdom,British Red Cross Society ,cash,pledged,66000,"£50,000 from charitable arm of Barratt and David Wilson Homes and commercial property developer Wilson Bowden.","Public reporting
[https://www.business-live.co.uk/economic-development/barratt-developments-donates-50000-help-23382787]",cd-54,GB-CHC-220949,
79,Barry Callebaut AG,Consumer discretionary,Switzerland,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,31617,"CHF 30,000 donation from Swiss cocoa producer.","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 20-Apr-22]",cd-55,XM-DAC-21018,
80,BASF,Industrials,Germany,German Red Cross,cash,pledged,1101820,Donation from German chemicals conglomerate. €1 million.,"Public reporting
[https://www.basf.com/global/en/media/news-releases/2022/03/p-22-161.html]",cd-56,ro-40,
81,Bayer AG,Health care,Germany,German Red Cross,cash,paid,210938,"€200,000 cash donation to benefit several Red Cross national societies; part of Bayer Disaster Relief Preparedness Fund. ","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-40,
82,Bayer AG,Health care,Germany,German Red Cross,cash,paid,1120462,"€1,060,000 proceeds from employee donation campaign to benefit multiple Red Cross national societies (via German Red Cross) with match by Bayer AG.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-40,
83,Bayer AG,Health care,Germany,Ministry of Agrarian Policy and Food of Ukraine [government],in-kind,paid,1582035,"€1,500,000 worth of seed donations for smallholder farmers: maize and vegetable products; book value as provided by Bayer.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-69,
84,Bayer AG,Health care,Germany,Ministry of Health of Ukraine [government],in-kind,paid,949221,"€900,000 worth of medicine / health products including antibiotics, oncology products, cardiovascular products, vitamins. Book value as provided by Bayer.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-70,
85,Bayer AG,Health care,Germany,Pioneer Foundation [NGO],cash,pledged,21093,"€20,000 to support free journalism.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-80,
86,Bayer AG,Health care,Germany,Polish Red Cross,cash,pledged,263672,"€250,000 cash donation","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-84,
87,Bayer AG,Health care,Germany,Ukrainian Red Cross Society,cash,pledged,527345,"€500,000 to support purchase of ambulances and defibrilators.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-116,
88,Bayer AG,Health care,Germany,unspecified or multiple recipients,cash,pledged,263672,"€250,000 dedicated for the benefit of Red Cross national societies.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-149,
89,Bayer AG,Health care,Germany,unspecified or multiple recipients,cash,paid,204681,"A total of €193,636 made up of multiple small donations of €10,000 - 50,000 to NGOs in Ukraine and neighbouring countries in support of shelters, medical care; refugees and emergency relief.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-149,
90,Bayer AG,Health care,Germany,unspecified or multiple recipients,cash,pledged,1673122,"€1,586,364 reserved for food security and support of children; recipients to be selected.","Bilateral - donor report
[Confirmed phone 5-May-22, email 6-May-22]

See also public reporting
[https://www.bayer.com/en/ukraine]",cd-57,ro-149,
91,BBVA,Financials,Spain,United Kingdom for UNHCR,cash,pledged,545000,"€1,586,364 reserved for food security and support of children; recipients to be selected.","Public reporting
[https://www.bbva.com/en/sustainability/bbvas-donation-drive-in-spain-in-aid-of-ukraine-tops-two-million-euros]",cd-58,ro-120,
92,BBVA,Financials,Spain,United Nations Children's Fund (UNICEF),cash,pledged,545000,"€1,060,000 proceeds from employee donation campaign to benefit multiple Red Cross national societies (via German Red Cross) with match by Bayer AG.","Public reporting
[https://www.bbva.com/en/sustainability/bbvas-donation-drive-in-spain-in-aid-of-ukraine-tops-two-million-euros]",cd-58,XM-DAC-41122,
93,BentallGreenOak,Real estate,Canada,United Nations Children's Fund (UNICEF),cash,pledged,39500,"CAD 50,000 donation.","Public reporting
[https://www.sunlife.com/en/newsroom/news-releases/announcement/sun-life-donates-200000-to-the-red-cross-to-support-humanitarian-relief-efforts-in-ukraine/123634/]",cd-59,XM-DAC-41122,
